,text
0,SIR FACETIME QNA KIJIYE PLEASE.
1,"RAAHU BAAHUBLI DEKHCHE , THAT WAS REALLY ENTERTAINING."
2,OLD IS GOLD HA RAKESH BAROT HA.
3,SIDHU MOOSEAWALA TOP OK.
4,LIKE TO KARVANOJ TAMARO MITRA.
5,THANK YOU FOR THIS VIDEO PLS.
6,VATTHI RAID OF MARRA.
7,THIS IS VERY BID SHIP AND THERE HAS MORE GAMES HOTELS SWIMMING POOL.
8,MISTAKES UNDENKIL CORRECT CHEIYTHE UPSC ATTEMPT CHEIYTHUKUDE.
9,"VJ ALA MATUM DHA MERSEL, SARKAR NU CONTINUE HIT MOVIE KUDUKA MUDIYUM."
10,AKRAM MAJID KHAN WHY ARE YOU FOLLOW ARABIC GOD?
11,MUSALMANO KE KAHANIYO PAR MOVIE BANA NA HINDU HI NAJAR AATA H.
12,REPLY KARILENI APA.
13,AMY KITCHEN VLOGS INDIA JI WO TO HAI.
14,HAIR SUPER EDRE SALDU.
15,AS SOON AS POSSIBLE INDIA SHOULD BE ATTACK BANGLADESH.
16,IS GHATNA SE ATANKWAADI APNA BACHA HUA BASE KHOJ RAHE HAI.
17,MEANS K YEH SIRF EK SURAH KA TARJUMA NHI HAI BALKE-SE SURTON KA TARJUMA HAI.
18,OR AGR HMARI HIGH COART ITNI NA EHEL HE JO KISI.
19,THIS IS WHAT CHRISTIANITY IS FOLLOWING.
20,ISKA SUSHANT CASE KA REPLY SUNN KAR PAT CHALTA HAI KESI ORRAT HAI.
21,SIR WHOLE SALE LA VANGURA PRODUCT KU NAMA THA PACKAGE PANNANUM MA.
22,EPUDU AYANA COMEDY CHESAVA MEMU EDARAMEY KASTAPADUTHUNAMU ANI CLEAR GA CHEPADU DESCRIBED SUDHEER NOT ADHI.
23,A GENTE JA COMECA A GRITAR QUANDO COMECA A TOCAR GULSEN.
24,"VERY NICE SONG, BEST EDITING."
25,SIR I NEVER EXPECTED THAT YOU WILL GIVE ME A HEART.
26,"OH GL AJ ES FUKRE NE KITI AA, RAULA ES TRA PA RIHA C K JIVE DUNYA TON KOI VAKHRI CHEEJ LAIN CHALIA."
27,CONGRATULATIONS BETA JI TO BOTH OF YOU AND GOD BLESS.
28,JAY MARI BUT BHAVANI SARKAR.
29,PAIR JOD K BENTI.
30,BUT IT WILL NOT BE PERMANENT.
31,AND NOTE AVALIBLE MY SIDE MORE THAN COINS.
32,AND PURE NATURAL SMILE.
33,NASA TE KHOBOR DAO KIRAN DA O ALIEN ONAR GAN SUNE AMARO RAT A GHUM AS ENA.
34,HAHAHAHA PAKISTAN ME HE RHNE LG JAOU.
35,THANKS TO WAHAGURU JI ALLAH JI RAM JI THEAR ARE VERY GOOD AS WELL.
36,GAME KHELNA BAND KR KE PADHAI SHURU KR DE.
37,CORRECT VIGESH ST OFF AIPPA MUTIYALA.
38,AGR INKII PUUCHN HOTII TO UKHAADDIIN BHII JAA SKTII THIIN.
39,ORU MANUFACTURE'AA EVVLLVU RISK IRUKKUTUNNNU ENNNKKU NLLAAVEE TERIYUM.
40,INDIAN GOVT AND JUDICIARY MUST PROTECT FREEDOM OF SPEECH.
41,IN PAKISTAN ME EXTREMIST CULTURE HE.
42,OWAISI IS THE GREAT LEADER OF THIS ERA.
43,MARVEL DOES NOT HAVE ANY COPYRIGHTS THAT ONE SHOULD NOT INSULT AVENGERS.
44,I BELIEVE ON NITIN SHUKLA JI.
45,HI MANY MORE HAPPY RETURN'S OF THE DAY SISTER.
46,SALA BONG GUY KE ROAST KORECHE.
47,PUBG LOVER AHOM KINGDOM NE BAAR MUGHALO KO HARAYA ITNE PANDIT.
48,I THINK NIVU GALU EDUCATED ANTA ANUKONDIDDINI.
49,OR TMHRE JAISE LOG PR QURAAN WORD ACHA NHI LGTA ISLIYE APNI SALAHIYAT APNE PAS RAKHO SNEHA KUMARI.
50,NEVER BELIEVE MUSLIM.
51,SCENCE SO EMOTIONAL.
52,NIKU NO PROBLAM MA FAMILIYS EBBANDI FEEL AVTHURRU.
53,ARREST MAADBEDA LADIES BUDDI HELI.
54,NINAGE-MADVE NILISIDU AA RAKSHASI CHANDRIKA AA SILENT QUEEN SANNIDI ALLA.
55,SHUVO S PAL ANDHO VOKTO HOYO NA.ATA JALI MAL DHARA PORE GE E.AKHON KOTHA HO.
56,YE LAST TIME HAI JB KOI US LEE KO DEKHTA HAI IG? BUT I STILL DO NOT KNOW VO GAYA KIDHAR.
57,AREE MADARCHOD MADARSSACHHAP BAKRICHOD TERRORISTS BEJNA BAND KARO LAUDE.
58,HAN BHAI HAM BHI FREE FIRE WALE HAIN.
59,AND THIS IS CAUSING TOWARDS MULTIPLE ORGAN FAILURE DUE TO ENTEROVIRUS.
60,HAPPY BIRTHDAY TG.
61,HAD BEKAR FILM H.
62,EMMU DIE HARD FANS.
63,KAANGRES KE SHAASN ME JB KISII HINDUU KAA HTYAA HOTAA THAA TO SNGHII NNGAA NAAC KRTE THE.
64,CUTE PARI BARBIE GIRL GOD BLESS YOU LITTLE PARI.
65,IF YOU EVER FEEL USELESS IN YOUR LIFE JUST THINK ABOUT UNO.
66,"BJP SE HI KHATRA HAI IS DESH KO,MAHEELAAON KO."
67,ARE JUST SO EXCITED FOR YOUR ARRIVAL LITTLE PRINCESS GOD BLESS.
68,MAM HOUSE TOUR MADI.
69,LEGENDS ARE WATCHING IN NOVEMBER
70,AMI TO VABLM CORONA TE ERAI HOETO BIDAAY' PITIBII BOLE E.
71,AAP DONO BABY KB PLAN KROGE YR.
72,MARA SON NE TMARA VIDEO BHUJ GAME CHHE.
73,ANCHOR IS A BIG FAILURE.
74,SE INHEN BHII SHRMINDGII KAA SAAMNAA KRNAA HII PDD'EGAA IS PR AB PRSHAASN KTTHOR EKSHN LE.
75,MARCHODO PHLE PAK ME DEKH LO HINDUO KE SATH KYAA HO RAHA H.
76,TAA K IS TANAAZE SE APNA MATLUUBA FAAIDA UTHAA SAKEN.
77,OR MUSLMAN AUR MADARSA HAI WO DESH BARBAAD KA HONA TAY HAI CHAHE WO KOI DESH HO SAUDI ARABIA HO YA AMERICA HO.
78,KARTIK SHETTY SO WT.
79,LITTLE SIDHU NZ INDIQ OHNA NE KITI HAUGI IELTS KRDE C.
80,AWESOME DANCE ON AWESOME SONG.
81,RAKHO BACCHE KA MERE KO TO DADA TERA JARUR HO MUNH PURA HO JAAYE.
82,MERA YOU TUBE CHANEL NAME SACHIN VLOGSTER HAI USKO AP SUBSCRIBE.
83,O CALDO N ROLAA.
84,OIC KI BAT TUM LOGO KO GALAT LAG RAHI H US WAQT KAI TUM LOG SOO RAHE THE JAB DHARAM SANSAD CHAL RAHI.
85,NA GHAR NO KE NA GHAT NO.
86,SHE SEEMED CUTE WHEN SHE WAS SAYING.MAINU V JEET LANE DO PAR PLZZZ VLOG HOR LAMBA KRO.
87,CONGRATULATIONS RASHMI DII AND JIJU.
88,AMI COMMENT KORI NA KARO VIDEO TE KONODIN.
89,KISI V CHIZ KO PROTEST KA NAAM DEKE JAAN MAAL KI HANI KARNA SAHI NAHI H.YE EK CULTUER BANTA JAA RAHA ISS DESH.
90,I WAS LITERALLY LAUGHING.
91,FULLY GROWN SIKH MEN FIGHTING IN DRESS CLOTHES.
92,KE MATKE MEN THUKA THA TO GALTI TO US DALIT BACHE KI THI NA.
93,GOOD WORK SIR THIS MESSAGE.
94,TOTALLY DEPLORABLE.
95,"AMIT SHAJI PLEASE JUSTICE FOR SSR, DISHA N JIAH KHAN MURDER."
96,MA VALA NE CORONA THAY.
97,WE WANT PART PLEASE ANNA.
98,NICE VIDEO MISS YOU DAD.
99,ABDULLAH ZUBAIR ALLAH IS ARABIC FOR GOD.
0,AKKA PAPU GE FACE GE YAVA CREAM USE MADTIRA HELI AKKA.
1,MUST JOKE MARA RA.
2,S AMAA BRO NANGALA PAVAM ARIVE ILA.
3,AND GO ON WITH THEIR CRIME.
4,SUPERB VOICE OF NORTH GUJARAT MANIRAJ BAROT RATAN OF PATAN.
5,ALL OF HIS VIDEOS R HILLARIOUS.
6,PLEASE APNA FACE REVEAL KARDO.
7,"HON, JIHDA KE TENU KHOL KE HI PTA LAGDA KE KEE AA."
8,SUPER SONG I LIKE THIS SONG JIGNESH BHAI.
9,JUST OTHER DAY YOUR WIFE MENTIONED SHAMPOO FOR DANDRUFF.
10,PHLE BALA NUMBER SE KOI OR MESSAGE KRTA THA TO MAI DELET KRDI.
11,SHAAYD BHAARTIIY IS SIDDHAANT SE HTT RHE HAIN ISII LIE SAARII ULJHNEN JNM LE RHII HAIN.
12,REACHED UNCLE OMG.
13,RAM PRASAD ENTRY DIALOGS SUPER ALA TAMILNADU FAN OF INDIA.
14,OR DUA KARTA HOON KI HEY PARMESHWAR MUJHE MAUT AA JAYE.
15,MAA PAISAA VAAPRYAAA TO VSULTO KRCHE J NE VAAH ACCHE DIN.
16,ROJA GARU FULL ENJOYING.
17,VAIBHAV JAIN JAI MODI JAII JAILING MODI JAI JAIII JAIIIIII MODI.
18,LMAOOOOOO FUCK MAN FUCK HAD ME ROLLING ON THE FLOOR RIGHT NOW.
19,MAATRMEE ARRIYUU TOTAL ARRIYILLKIITTTTUNNVK AARAANN AYCCT YN POOLUN ARRIYILL.
20,BRO LAM BECOME FAN OF YOUR.
21,HII SIS NICE VLOG AND LITCHI FRUITS IS VERY TESTY SIS HELTHGU THUMBA OLLEDU.
22,PEACE AND HARMONY.
23,"ME ENCANTA ESTE CHICO,ES MISTERIOSO."
24,THEY DO ALL THE TIME MOSTLY BEFORE ELECTION.
25,LIFE IS NOT IN OUR HANDS.
26,"CURRENT BILL, GAS BILL."
27,PALANPUR BK MA DEKHVA MALEL CHE.
28,GOD GIVE SEVERAL MONY.
29,"OR AAJ KHUD MUKHTAAR H, AB PANGA LE HE LIYA H TUMNE TOH HUM BHI DEKHENGE."
30,YE KABSE URDU ME BAAT KARRAHA HAI.HAMISA TO ENGLISH ME BOLTAHAI NA.
31,I LOVE SHOPPING IN INDIAN FOOD STORES.
32,SUTTU KHARA SUTTU KHAAR AKBEDI ADHU DDRINKS TARA IRUTE PLZ BABY GE AKBEDI.
33,KIRAN DAA ROST THE VIDEO.
34,EVAN EPPADI LAM SOLLA MA TANE.
35,VERY CLICHED TALK.
36,I LOVE MY DOG AND ALL DOGS BUT MY FAMILY NOT.
37,"DOLLARS KHARZ KA KHAATIMA KUB HOGA, DALLOR TO RUPEE. SE WAAPAS. RUPEES KUB HOGA."
38,HARI DARSHAN IDHULAYA TERIYUDHU NEE RSS LA TRAINING EDUTHAVAN NNU.
39,PRATI LAGAO DEKHTE HI BANTA HAI BHARAT KE BHI DALIT IS DHARAM ME.
40,REVIEW PATHU IDHE TUM PARUNGHE.
41,RAQUEL BARBARA SO MUDAR O RECHEIO PRA DOCE.
42,SUMNE VIDEO UPLOAD MADODALLA.
43,"THEY ARE SIKHS, NOT HINDUS."
44,IT IS NOTHING BUT JUST A RESULT OF NESTY POLITICS OF RSS AND BJP.
45,BRO I NEED THAT TYPE OF WIFE LAKIN KHUD KO BHI KATRA HO SKTA H.
46,VA BHAI NICE MOJ HO.
47,BOLLYWOOD SHOULD LEARN FROM SOUTH FILMS.
48,TERRORISTS SHOULD BE CRUSHED.
49,VERY WELL EXPLAINED SIR JI.
50,WHY BRO INDOMINUS REX TAMINGA KAAMIKALA?
51,PURVA MERE NAZAR ME TERRORIST BURE BCZ WO LOG MASUM KO MAARTE H.
52,"CULTURAL IMPACT HOTA HAI, SANKRAON KI BAT KR RHA THA MAI.AUR CASTE KARMO SE ATI HAI NA KI BY BIRTH HOTI HAI."
53,END AAK DAM GATIYA HA.
54,ODISHA VLOGGER RASMITA CALL KARIBE TA KAHICHANTI JANINI.
55,TRIPPY VIDEO BALO.
56,AGER HINDU HATHYAR RKHE TO MARD.
57,MUJHE BHI.INSANO SE ZYADA ANIMALS SE PYAR H.WO BEZUBAN HAI APNI TAKLIF BTA NHI SKTE ISLYE.
58,UNAKU DOCTOR KUDA MUSLIM THAANA HINDU DOCTOR KITTA PESA MATIYAA DAA BBC PANNI.
59,I ENJOYED TWO EIDS WITH THIS VICTORY IN AFGHANISTAN AND PAKISTAN.
60,KARTE HAI THANK YOU VERY MUCH BHAI APKA SHIVJI KI KRIPA AAPPAR HAMESHA BANI RAHEGI.
61,MA APNE HUBBY NAL YAER PHALA GYI AJ V YAAD KRDE A OS TIME NU.
62,THAT KENNEDY IS A SHAMELESS GUY.
63,COURT INN MASLO ME PADKAR APNA KEEMTI WAQT BARBAAD NAHI KARNA CHAHTA. BILLION KE DESH ME LOG AGAR.
64,TO PROTECT HIS HEAD FROM ATTACK.
65,POLITICS KO RELIGION SE DOOR RAKHNA CHAHIYE.
66,NANUM K KID DHANGA ANA ENGALUKUM IDHU ELLAM THERIUM ROMBA PUDIKAVUM SEIUM K S NU.
67,KISHORE IS RGT PEDDU SIDDU.
68,NEWS ITTRTTI INIYUN MAATRK KAANNIKKNNN.
69,RAAJII NAAMU TO AASHIT VORAA JEVAA KAUBHAANDDII NE AAPVUN JOIE.
70,"ANCHORING ANTE ART, NOT A GLAMOUR."
71,MAKKAH MASJID INDIA PE TO KUCH NAHI BOLA JATA.
72,COMMENTS EPPUDU ALLOW CHESARU.
73,AND IGNORANCE IS TOO MUCH IN POOR MUSLIM COMMUNITY.
74,OUR PROPHET PEACE BE UPON HIM.
75,BOTHS ARE PLAYED IMPORTANT ROLE IN THIS STORY.
76,BEST SONG RAKESHBHAI.
77,I DO NOT WANT YOU ARE OPINION.
78,INTRODUCE PROPERLY.
79,GREAT WORK BY DELHI GOV.
80,YES HE CAN MAKE SOMEONE HAPPY COZ HE COPIES ALREADY A HIT MUSIC COMPOSITION.
81,AFGAAN M HATHIYAR ESNE BHEJ THE.
82,SIMA RAMPRASADI HELLO SIMA.
83,TOP DEMAIS VOU COMPRAR JA JA.
84,KEJRIWAL BDA CAALK USNE SOCAA KI MAIN PHLE ONPHISR BN JAATAA.
85,BHAGWAN AAP KO HUMESHA KHUS RAKHE AAP SACH MAIN INSPIRATION HO SABHI KELIYE.
86,FEEDING MADSOD BIDSIDRA YAVAGA VIDIOU MADI.
87,NO ONE CAN BEAT SR JODI.
88,PNN MODII TRII SRKAARE LAAII LIIDHO AAM TO VIKAAS VIKAASH KRE.
89,KONTHAMANDI KULLUKONI NEGATIVE COMMENTS PEDUTHUNNARU.
90,JORDAR KEEP IT UP FROM GUJARAT.
91,EXPLAIN IN HINDI PLZ BRO CALL ME SOON.
92,KMK AA MONTH NUJ.
93,LIFELONG ELANE HAPPYGA UNDALI MA ADHARINI NAVVISTHU UNDALANE KORUKUNTUNAM.
94,LEKIN JMIINII HKIIKT KYAA HAI BHAART KE STUDENTS KAA.
95,"SO GOHAR AYUB RESIGNED, THEY REQUESTED GOHAR AYUB TO REJOIN."
96,TAARII PAACHE DOLT TO HSE PNN.
97,SARAH AHMED ALHUMDULILLAH IS BAAT PAR MERA IMAN AUR YAQEEN E KAMEEL HAI BAJI AULAD MAUT.
98,THAAN THAMIZHNU PROVE PANNANUMNU THAAN INDA VELAI SEIDIRUKARU.
99,HMARA BHARAT DESH ACHA PAR CORONA ME BHUT HALAT BEKAR THI AUR.
1014,CONGRATULATIONS BHAI NEW THAR CAR BOOKING HEIGALA.
1069,TARUN.AA CHINA NA MENTAL AAJE TARI WIG KADHI NAKHAT TARUN.
1167,YE SAALE AAPS ME HII MRENGE.
1307,NYAA SHRTNRRE VIIDDIYOO YILUUTTE AANN IT KAANNUNNT.
1338,H HA YOU IT THE OF QA HAA SEEN DC DC USA.
1421,DOES NOT SEE THE POOR PALESTINIAN PEOPLE THERE WHO ARE KILLED.
1576,MUHAMMAD SHUAIB SONG PLAY KARLIYA HAI WO Y HAI HMAY TUMSAY PAYAR KITNA.
1718,VO BHI USA SE MAANG RAHE HAI MERA THOUGH BAS YEHI KAHNA HAI BHAGWAN KRIPA BANEY RAKHE INPE.
1901,CONGRATS BHRA K HOGE THODE DINAA TAKK MILLION V HO JAAN GE.
2097,CONGRATULATIONS MY DEAR MAM.
2131,DAI NAAN YOUTUBE PREMIUM USER DA.
2153,OVER CONFIDENCE LE DOOBA MUKKA MUKKA.
2249,GERMAN SHEPHERD DOG IN MY HOME.
261,AAPKE VIDEOS DAKH KAR TO MUJHE BOHOT KNOWLEDGE MILTA HAI.
2711,MIDDLE EAST JATY HE SAR PER DOPATA RAKHNA YAD AA JATA HI.
275,GUY KAE BHALO BASI KINTO DEV KAE NA TUI DEV KAE OOR SAMNAE ROAST KORLI NA KANO TAHOLAE SALA BOJTO.
2790,OR JBRJSTII DHRM PRIVRTN KIYAA ISLAAM BAADII NE.
2906,"HUMAN MAMSAM BAKSHIKUNA JEEVIYALA, AA CHERUPAKARANDA LOOK KANDILLE?"
2947,NEPAL AUR INDIA ME SARA PARVLM INDIAN FAKE NEWS SE HUTA HEI.
2962,BALUCHISTAN IS HEART OF PAKISTAN FROM BALUCHISTAN.
3005,THAT IS PRETTY RETARDED.
3062,IF YOU ARE AT THE RECEIVING END THEN TAKE THE ADVICE BUT DO NOT REACT.
3084,RAHUL REALLY FUCKED UP.HE DOES NOT HAVE ANYTHING TO SAY.
3111,OR RAHI BAAT SHRAP KI TO VO TUMSE NHI HO PAYEGA USKE LIYE TAPSYA BOLLIWOOD KA BAS KI BAAT NHI H.
3198,INDIA SHOULD OFFER SRI LANKA TO JOIN THE INDIAN FEDERATION.
3300,KYUKI ARAB WORLD PRO-AMERICA HAY AUR IRAN THODA PRO-EASTERN WORLD KI TARAF THA JAISEY RUSSIA.
3639,SBI BANK WORKERS ARE THE SUPREME LEADERS OF THE GOVERNMENT SERVICES OF INDIA AKA KIM JONG UN.
3679,VAVA ISHTAMULVAR LIKE ADIKKO.
3742,QASOOR TO LIVING RELATIONSHIPS KA K JIS MN ZINA ORE HARAM KARI K SIWA KUCH NI.
3895,GIZMODDICT HINDI SOCHOO NOTE PRO ME GFX TOOL USE KARO TOO.
3910,SNEHA KUMARI WAAH SEEMS LIKE YOU DID PHD REGARDING THE HISTORY OF PALESTINE.
404,QUALITY IS ALSO NOT THAT GOOD BRO.
4040,NOT A KANJUS FAKE NEWS.
4245,I BOYCOTT PATANJALI PRODUCTS.BENGAN KI SHAKAL VALE KAMDEV TERI MAA KA BHOOT.SAMAJ BYE.
4527,DAI ALREADY LAK KUDUTHACHUDA L.
4533,TO MERE HISAB SE WO BHGWAN KA HISSA HO HI NHI SKTA JO GLTI KRE.
4552,BAHAR SE ACTUALLY AYA KOR.
4623,KISII KO KHDD'AA RHNE KAA JGH DEDO TO VO BAITTH JAATAA HAI.
470,"BHA DADA, KHUB VALO, SES TA KHUB VALO."
5015,ARJUN THAKOR MAY LIKE KARO METRO BOOM BOOM BOOM.
5125,MU MLA OKAY PRS NN NAAL VOOTTTTAANN.
5148,JAY HARSIDDHI MAA GOOD MORNING BHARAT SOLANKI.
5169,"TIME VICTIM CARD KHELNA THIK NHI H KI MASJID TORE JA RAHE H, MUSLIM KO."
5192,ALOK PUNDIR INKEY LIYE KURAN HI SAB KUCH HAI.
5200,FINLEND SWIDAN A SAB KO RUSH MAI SAMIL HONA CHAHIYE NATO KI TARAH.
5237,SHOULD OPEN PARCEL SERVICE OF LIQUOR STORES.
5258,I WISH APKO APKA PYAR MIL JAY.
5525,THIHAR JAIL RETURNS.
5592,HITLER NE MARTE WAQT BHI NAHIN BATAYA GUJARAT ME USKA POTA JUTHLER BHI REHTA HAI.
5638,WELCOME HOME BLACK TROJAN.
574,VEERA IK HELP KRDO PLEASE.
5770,KEEVLN SIIRRRRI NINN SIIRRRRILEEKK VLLRAAN ENNUNNTTENGKI KEERLLTTILUN AT SAADHYMAAVUN AVKK.
5865,LOVE PAK ARMY LOVE IMRAN KHAN LOVE CHINA.
5897,OR HEART ETHA BASE PANNI VARUNDHUNU VIDEO PODUNGA.
5914,GOD BLESS HER ABUNDANTLY STAY SAFE.
5975,TAMIL GAMING TMILLL KEEMING BOR NOTE MEANS WHAT.
6022,LOVE YOU BEAUTIFUL SOUL.
6085,IF IT IS BECAUSE OF THEIR DISPLAY RESOLUTION HD THEN PLZ TELL HOW DISPLAY AFFECTS GRAPHIC SETTINGS.
6109,KAB AYE GHA DUSRA EPISODE SABAR NAHI HO RAHI.
6131,JYA MAATAAJII MITRO AA SONG NE ANHII LAAIIK KRO SER KRVAANU NAA BHULTAA SPORTT KRJO CENL NE SSKRAAIB KRO.
6186,OR APNE BACHHO KA PET PAALNE KE LIYE JAANA PADTA H.
6220,BOOOM DADA VIDEO TEE TOO FATIYAAA DIYECHOO SEREEE.
6225,DUSTU BADHIA DEKHAJAUCHIVERY NICE MU BI AJI MO JHIA KU FIRST TIME SAREE PINDHEILI.VLOG ASIBA.
6312,DUSTU RA GET UP BADHIA HEICHI DIDI.
6546,TAMILNADU GOVERNMENT SHOULD INCREASE THEIR SALARY.
659,SHARM AATI ESE LOGO KO YEARS ESE HOGEST PD PR BITHA KR RAKHA.
6665,BRO NENU SARATH NI BRO NIKU KONNI PLACES SUGGEST CHESTA CHINNA BAZAR.
6832,QUE DELICIA QUE PENA QUE EU MORO THEM MACEIO.
6885,HE IS NOT IN FILM AND HAS BEEN INVITED FOR TRAILER RELEASE.
6947,HAPPY BIRTHDAY BHABI JANN.
7097,I PROUD OF YOU DEAR SSTR BROTHER.
7155,M F NII ASHRAF MUSLIIMAA ILLAIYAA.
7343,GOD SEND THAT AUNTY.
7344,NICE TO YOU LOVE YOU KHAJUR BHAI.
7433,IS KAY LAST PROPHETS HAZERT MUHAMMAD PEACE BE UPON HIM PER IIEMAN LAY AIEN.
7446,BUT YAR PLZ YHI REQUEST H MERI THINKING KO.
7519,JAD MAIN YAHAN PER SIRF HUMARA MAKAAN THODI HI HAIN ISLEA.
7556,NIMMA APPA FLIGHT NALLI KARAKONDU BANDHARENO HARAM.
7897,SUNNY DEOL PR BANAV BHAI.EAGERLY WAITING FOR THAT.!
7908,IN INDIA THERE ARE JUST SUPPORTING CONGRESS DMK IN TAMILNADU.
7965,IF SOMEONE ELSE ACTED IN HER ROLE.
8,COMEDY SHOW KASTA HEADACHE SHOW AYYINDI.
8082,WHAT YOUR RAM AND ASAHRAM BAPAU MESSAGE.
8142,RIYA SHAH I DO NOT UNDERSTAND PAKISTANI ENGLISH.
8164,BRO PHONE PAY SECNAR AKI SWALPA JANA SAPORT MADDTHARE NIMGE.
845,PLZ FULL MOVIE MUKO NE.
8497,ADHI OO GOVERNMENT JOB AME INKORNI EVARO EVARO ANTUNDI.
8593,I SALUTE THIS MLA.
8644,SIR JI YA JAHEL LOG HAI AAP KA BAAT NAHI MANENGE INKO CHAHIYE DALAAL CHANNEL.
8679,MUSLIM HONE KI SJHA TO MILEGI HI.
87,PARTHU REVIEW PANNU.BODHAILA PARTHUTTU OLARTHA DA THEVIDIYA PUNDAI.
8763,TO GAIR MUSLIMO KO BHI JANE DO WAHA JB USKI TM PUZA HI NHI KRTE TO.
8921,EXACTLY I ALSO SAME THINKING.
8994,TMHRY DM SYNY NQLB AY' G. D WY JW KHRT THNAATO GLSTN KHY HFZT KH.
9011,MESSAGE LAI TA JANDE NI MUMBAI.
9081,YOUR ALL THINGS ARE CORRECT BUT.
9101,ILL UNNNNNN NAANNNEE TEETTI VNTU ATTI KONNNNURRUPPEENNN.
9812,SIR YOUR VOICE IS ALSO MISMERAISING.
9826,AUR VOTT DO BJP KO DEKH LIYAA NTIIJAA DUSRO KE DRD PE HNSNE VAALON SBKAA NMBR AAEGAA MODII JII NE BAAR BAAR.
9897,HEART AND EVER WHERE IN INDIA.
